,0,1
0,partie,part
1,seulement,only
2,police,police
3,aide,help
4,demande,request
5,frère,brother
6,laisser,let
7,car,because
8,mettre,to put
9,aucun,no
10,laisse,leash
11,eux,them
12,ville,city
13,chaque,each
14,parlé,speak
15,arrivé,come
16,devrait,should
17,bébé,baby
18,pendant,while
19,revoir,meet again
20,aucune,any
21,place,square
22,parle,speak
23,savais,knew
24,étaient,were
25,attention,Warning
26,pourrais,could
27,affaire,case
28,donner,give
29,donné,given
30,corps,body
31,endroit,place
32,façon,way
33,écoute,listen
34,dont,whose
35,premier,first
36,perdu,lost
37,main,hand
38,côté,side
39,pouvoir,power
40,sois,be
41,matin,morning
42,tellement,so much
43,enfant,child
44,venu,came
45,suite,after
46,venez,come
47,devant,in front of
48,vers,towards
49,demandé,request
50,chambre,bedroom
51,mis,placed
52,belle,beautiful
53,aimerais,would like to
54,mari,husband
55,cause,cause
56,enfin,finally
57,eau,water
58,attendez,Wait
59,parti,left
60,nouvelle,new
61,boulot,job
62,arrêter,Stop
63,dirait,would say
64,terre,Earth
65,compte,account
66,donne,given
67,loin,far
68,fin,end
69,croire,believe
70,chérie,sweetheart
71,gros,large
72,plutôt,rather
73,aura,will have
74,bureau,office
